Age,BusinessTravel,department,DistanceFromHome,Education,EducationField,Gender,job_role,JobSatisfaction,MaritalStatus,monthly_income,NumCompaniesWorked,overtime,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,industry_proxy,layoff_target
41,Travel_Rarely,Sales,1,2,Life Sciences,Female,Sales Executive,4,Single,6000,8,Yes,11,3,4,0,Retail and Consumer,1
49,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,Research Scientist,2,Single,5130,1,No,23,4,7,1,Technology and Services,0
37,Travel_Rarely,Research & Development,2,2,Other,Male,Laboratory Technician,3,Single,2090,6,Yes,15,3,0,0,Technology and Services,0
33,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,Research Scientist,3,Married,2909,1,Yes,11,3,7,3,Technology and Services,0
27,Travel_Rarely,Research & Development,2,1,Medical,Male,Laboratory Technician,2,Married,3468,9,No,12,3,2,2,Technology and Services,0
32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,4,Single,3068,0,No,13,3,7,3,Technology and Services,0
59,Travel_Rarely,Research & Development,3,3,Medical,Female,Laboratory Technician,1,Married,2670,4,Yes,20,4,0,0,Technology and Services,0
30,Travel_Rarely,Research & Development,24,1,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,1,No,22,4,0,0,Technology and Services,0
38,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,Manufacturing Director,3,Single,9526,0,No,21,4,7,1,Technology and Services,0
36,Travel_Rarely,Research & Development,27,3,Medical,Male,Healthcare Representative,3,Married,5237,6,No,13,3,7,7,Technology and Services,0
35,Travel_Rarely,Research & Development,16,3,Medical,Male,Laboratory Technician,2,Married,2426,0,No,13,3,4,0,Technology and Services,0
29,Travel_Rarely,Research & Development,15,2,Life Sciences,Female,Laboratory Technician,3,Single,4193,0,Yes,12,3,5,0,Technology and Services,0
31,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,Research Scientist,3,Divorced,2911,1,No,17,3,2,4,Technology and Services,0
34,Travel_Rarely,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Divorced,2661,0,No,11,3,2,1,Technology and Services,0
28,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,Technology and Services,0
29,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,1,No,11,3,9,8,Technology and Services,0
32,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,Research Scientist,2,Divorced,3298,0,Yes,12,3,2,0,Technology and Services,0
22,Non-Travel,Research & Development,16,2,Medical,Male,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,0,0,Technology and Services,0
53,Travel_Rarely,Sales,2,4,Life Sciences,Female,Manager,4,Married,15427,2,No,16,3,8,3,Retail and Consumer,0
38,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,3944,5,Yes,11,3,2,1,Technology and Services,0
24,Non-Travel,Research & Development,11,2,Other,Female,Manufacturing Director,3,Divorced,4011,0,No,18,3,2,1,Technology and Services,0
